Participant_ID,Folder,File,MOS_Technical,MOS_Semantic
6Z6QJYEV,72,smack.wav,1,1
6Z6QJYEV,57,pgd.wav,5,5
6Z6QJYEV,72,tts.wav,5,5
6Z6QJYEV,45,pgd.wav,5,5
6Z6QJYEV,52,waveform.wav,1,1
6Z6QJYEV,57,tts.wav,5,4
6Z6QJYEV,45,smack.wav,1,2
6Z6QJYEV,72,pgd.wav,5,5
6Z6QJYEV,87,smack.wav,1,1
6Z6QJYEV,28,pgd.wav,4,5
6Z6QJYEV,52,smack.wav,1,1
6Z6QJYEV,28,harvard_audio.wav,5,5
6Z6QJYEV,87,tts.wav,5,3
6Z6QJYEV,70,smack.wav,1,2
6Z6QJYEV,41,tts.wav,5,5
6Z6QJYEV,8,waveform.wav,2,4
6Z6QJYEV,5,pgd.wav,5,5
6Z6QJYEV,8,pgd.wav,5,5
6Z6QJYEV,45,harvard_audio.wav,5,5
6Z6QJYEV,57,waveform.wav,1,1
6Z6QJYEV,28,smack.wav,1,3
6Z6QJYEV,70,pgd.wav,5,5
6Z6QJYEV,57,smack.wav,1,3
6Z6QJYEV,87,waveform.wav,2,1
6Z6QJYEV,45,tts.wav,4,5
6Z6QJYEV,52,pgd.wav,4,5
6Z6QJYEV,87,harvard_audio.wav,5,5
6Z6QJYEV,5,waveform.wav,1,1
6Z6QJYEV,87,pgd.wav,5,5
6Z6QJYEV,5,smack.wav,1,1
6Z6QJYEV,52,tts.wav,5,5
6Z6QJYEV,5,harvard_audio.wav,5,5
6Z6QJYEV,8,tts.wav,5,4
6Z6QJYEV,41,pgd.wav,5,4
6Z6QJYEV,72,harvard_audio.wav,5,5
6Z6QJYEV,41,harvard_audio.wav,5,4
6Z6QJYEV,28,tts.wav,5,5
6Z6QJYEV,28,waveform.wav,2,4
6Z6QJYEV,70,waveform.wav,1,1
6Z6QJYEV,8,harvard_audio.wav,5,4
6Z6QJYEV,57,harvard_audio.wav,5,5
6Z6QJYEV,41,smack.wav,1,2
6Z6QJYEV,70,tts.wav,5,3
6Z6QJYEV,41,waveform.wav,1,1
6Z6QJYEV,52,harvard_audio.wav,5,5
6Z6QJYEV,72,waveform.wav,1,1
6Z6QJYEV,8,smack.wav,2,4
6Z6QJYEV,45,waveform.wav,1,1
6Z6QJYEV,5,tts.wav,5,4
6Z6QJYEV,70,harvard_audio.wav,5,5
GGX5OGFF,52,harvard_audio.wav,5,3
GGX5OGFF,45,pgd.wav,5,5
GGX5OGFF,87,waveform.wav,1,1
GGX5OGFF,45,waveform.wav,1,1
GGX5OGFF,5,tts.wav,5,4
GGX5OGFF,45,harvard_audio.wav,5,5
GGX5OGFF,8,pgd.wav,4,4
GGX5OGFF,41,pgd.wav,4,5
GGX5OGFF,70,harvard_audio.wav,5,5
GGX5OGFF,52,pgd.wav,3,4
GGX5OGFF,72,tts.wav,4,3
GGX5OGFF,87,tts.wav,5,5
GGX5OGFF,41,smack.wav,2,2
GGX5OGFF,57,waveform.wav,1,1
GGX5OGFF,8,harvard_audio.wav,4,4
GGX5OGFF,41,tts.wav,5,5
GGX5OGFF,28,tts.wav,5,3
GGX5OGFF,5,waveform.wav,2,2
GGX5OGFF,72,harvard_audio.wav,5,5
